Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /posts — listar todos,87,0,15,15.301286999946852,11.512668000250414,35.25811600047746,27520.0,1.4736188331570357,0.0,15,16,17,17,19,20,20,35,35,35,35
GET,GET /posts/{id} — detalhe,76,0,17,18.238411249955647,12.926876999699743,45.76615499991021,265.82894736842104,1.2872992105739622,0.0,17,19,20,22,24,26,30,46,46,46,46
GET,GET /users — listar usuários,28,0,13,16.06837414286539,10.948556000585086,45.494220000364294,5645.0,0.47426813021145975,0.0,13,14,14,15,35,37,45,45,45,45,45
POST,POST /comments — criar comentário,38,0,18,21.369279684294224,16.64109500052291,65.73541299985663,223.94736842105263,0.6436496052869811,0.0,18,19,21,23,32,37,66,66,66,66,66
POST,POST /posts — criar post,57,0,18,19.227181982483,15.374285999314452,36.68081700016046,170.12280701754386,0.9654744079304717,0.0,18,19,20,20,23,25,34,37,37,37,37
,Aggregated,286,0,17,17.74555140208723,10.948556000585086,65.73541299985663,9058.426573426574,4.84431018715991,0.0,17,18,19,19,23,26,37,45,66,66,66
