Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /posts — listar todos,407,0,14,15.255074093366408,10.840735999408935,66.21666199953324,27520.0,6.891733784916355,0.0,14,15,16,16,19,21,36,46,66,66,66
GET,GET /posts/{id} — detalhe,332,0,16,18.667703057255757,11.641678999694705,71.83205499950418,263.34939759036143,5.621758271725381,0.0,16,18,19,20,24,38,51,62,72,72,72
GET,GET /users — listar usuários,137,0,13,14.548331102168362,10.452536000229884,37.51469100006943,5645.0,2.3198219374288467,0.0,13,15,16,16,18,20,31,37,38,38,38
POST,POST /comments — criar comentário,207,0,18,19.566307024108493,13.777725000181817,66.5150660006475,223.7536231884058,3.50513241640709,0.0,18,19,20,21,23,27,41,49,67,67,67
POST,POST /posts — criar post,287,0,18,19.845878522668983,14.288807999946584,55.77124599949457,170.1114982578397,4.859772963810796,0.0,18,19,20,21,23,29,45,51,56,56,56
,Aggregated,1370,0,16,17.624530381023767,10.452536000229884,71.83205499950418,8873.413138686132,23.19821937428847,0.0,16,18,19,20,22,26,44,51,69,72,72
