Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /posts — listar todos,847,1,14,15.741820976395497,10.39599200066732,107.9710839994732,27487.508854781583,14.333077199323212,0.016922169066497298,14,15,16,16,19,23,48,56,110,110,110
GET,GET /posts/{id} — detalhe,673,2,15,17.76761825408053,6.5839270000651595,84.55631899960281,261.2793462109955,11.388619781752682,0.033844338132994596,15,17,18,19,22,27,49,55,85,85,85
GET,GET /users — listar usuários,276,2,13,14.992997981884717,6.411481000213826,93.11583300041093,5604.094202898551,4.670518662353254,0.033844338132994596,13,14,15,16,18,25,40,45,93,93,93
POST,POST /comments — criar comentário,410,1,18,20.591095704868366,6.327936000161571,100.1146090002294,223.24878048780488,6.938089317263892,0.016922169066497298,18,19,20,21,23,37,63,80,100,100,100
POST,POST /posts — criar post,577,0,18,20.048713155980543,13.720961000217358,84.08050900015951,170.12305025996534,9.764091551368942,0.0,18,19,20,21,24,32,55,60,84,84,84
,Aggregated,2783,6,16,17.764805470715118,6.327936000161571,107.9710839994732,9052.88681279195,47.094396512061984,0.1015330143989838,16,17,18,19,22,27,51,61,93,110,110
